k,class_name,cluster_id
5,OrderForm,2
5,Cart,3
5,CartItem,3
5,Item,3
5,CategoryDao,4
5,ItemDao,4
5,PetStoreFacade,4
5,PetStoreImpl,4
5,ProductDao,4
6,LineItem,0
6,Order,0
6,OrderActionForm,0
6,OrderForm,0
6,AccountDao,1
6,AccountValidator,1
6,JaxRpcOrderService,1
6,OrderDao,1
6,OrderService,1
6,SecureBaseAction,1
6,Account,2
6,AccountActionForm,2
6,BaseAction,2
6,BaseActionForm,2
6,CartActionForm,2
6,Category,2
6,OrderValidator,2
6,Product,2
6,SendOrderConfirmationEmailAdvice,2
6,UserSession,2
6,CategoryDao,3
6,ItemDao,3
6,PetStoreFacade,3
6,PetStoreImpl,3
6,ProductDao,3
6,AccountForm,4
6,Cart,5
6,CartItem,5
6,Item,5
7,AccountDao,0
7,AccountValidator,0
7,JaxRpcOrderService,0
7,OrderDao,0
7,OrderService,0
7,SecureBaseAction,0
7,CategoryDao,1
7,ItemDao,1
7,PetStoreImpl,1
7,ProductDao,1
7,Account,2
7,AccountForm,2
7,AccountActionForm,3
7,BaseAction,3
7,BaseActionForm,3
7,Category,3
7,OrderValidator,3
7,PetStoreFacade,3
7,Product,3
7,SendOrderConfirmationEmailAdvice,3
7,UserSession,3
7,Item,4
7,LineItem,4
7,Cart,5
7,CartActionForm,5
7,CartItem,5
7,Order,6
7,OrderActionForm,6
7,OrderForm,6
8,AccountDao,0
8,AccountValidator,0
8,JaxRpcOrderService,0
8,OrderDao,0
8,OrderService,0
8,SecureBaseAction,0
8,Account,1
8,AccountActionForm,1
8,BaseActionForm,1
8,Category,1
8,OrderValidator,1
8,Product,1
8,SendOrderConfirmationEmailAdvice,1
8,UserSession,1
8,AccountForm,2
8,Order,3
8,OrderActionForm,3
8,OrderForm,3
8,Cart,4
8,CartActionForm,4
8,CartItem,4
8,Item,5
8,LineItem,5
8,BaseAction,6
8,PetStoreFacade,6
8,CategoryDao,7
8,ItemDao,7
8,PetStoreImpl,7
8,ProductDao,7
9,Account,0
9,AccountActionForm,0
9,BaseActionForm,0
9,Category,0
9,CategoryDao,0
9,Product,0
9,UserSession,0
9,JaxRpcOrderService,1
9,OrderValidator,1
9,SendOrderConfirmationEmailAdvice,1
9,AccountDao,2
9,AccountValidator,2
9,OrderDao,2
9,OrderService,2
9,SecureBaseAction,2
9,Order,3
9,OrderActionForm,3
9,OrderForm,3
9,Cart,4
9,CartActionForm,4
9,CartItem,4
9,AccountForm,5
9,BaseAction,6
9,PetStoreFacade,6
9,Item,7
9,LineItem,7
9,ItemDao,8
9,PetStoreImpl,8
9,ProductDao,8
10,AccountActionForm,0
10,BaseActionForm,0
10,Category,0
10,Product,0
10,SendOrderConfirmationEmailAdvice,0
10,UserSession,0
10,AccountDao,1
10,AccountValidator,1
10,JaxRpcOrderService,1
10,OrderDao,1
10,OrderService,1
10,SecureBaseAction,1
10,OrderValidator,2
10,CartItem,3
10,Item,3
10,LineItem,3
10,BaseAction,4
10,PetStoreFacade,4
10,AccountForm,5
10,ItemDao,6
10,PetStoreImpl,6
10,ProductDao,6
10,Order,7
10,OrderActionForm,7
10,OrderForm,7
10,Cart,8
10,CartActionForm,8
10,Account,9
10,CategoryDao,9
11,AccountValidator,0
11,JaxRpcOrderService,0
11,SecureBaseAction,0
11,Order,1
11,OrderActionForm,1
11,OrderForm,1
11,CartItem,2
11,Item,2
11,LineItem,2
11,BaseActionForm,3
11,ItemDao,3
11,SendOrderConfirmationEmailAdvice,3
11,UserSession,3
11,Account,4
11,AccountActionForm,4
11,Category,4
11,Product,4
11,AccountForm,5
11,BaseAction,6
11,PetStoreFacade,6
11,AccountDao,7
11,OrderDao,7
11,OrderService,7
11,Cart,8
11,CartActionForm,8
11,CategoryDao,9
11,OrderValidator,10
11,PetStoreImpl,10
11,ProductDao,10
12,Account,0
12,AccountActionForm,0
12,OrderActionForm,0
12,AccountDao,1
12,AccountValidator,1
12,JaxRpcOrderService,1
12,OrderDao,1
12,OrderService,1
12,SecureBaseAction,1
12,BaseActionForm,2
12,ItemDao,2
12,SendOrderConfirmationEmailAdvice,2
12,UserSession,2
12,CartItem,3
12,Item,3
12,LineItem,3
12,Order,4
12,OrderForm,4
12,Cart,5
12,CartActionForm,5
12,BaseAction,6
12,PetStoreFacade,6
12,AccountForm,7
12,CategoryDao,8
12,Category,9
12,Product,9
12,ProductDao,9
12,PetStoreImpl,10
12,OrderValidator,11
13,AccountDao,0
13,AccountValidator,0
13,JaxRpcOrderService,0
13,OrderDao,0
13,OrderService,0
13,SecureBaseAction,0
13,OrderForm,1
13,Cart,2
13,CartActionForm,2
13,PetStoreImpl,3
13,ProductDao,3
13,AccountActionForm,4
13,BaseActionForm,4
13,ItemDao,4
13,SendOrderConfirmationEmailAdvice,4
13,UserSession,4
13,OrderValidator,5
13,BaseAction,6
13,PetStoreFacade,6
13,Category,7
13,Product,7
13,CartItem,8
13,Item,8
13,LineItem,8
13,Account,9
13,AccountForm,10
13,CategoryDao,11
13,Order,12
13,OrderActionForm,12
14,LineItem,0
14,AccountDao,1
14,AccountValidator,1
14,JaxRpcOrderService,1
14,OrderDao,1
14,OrderService,1
14,SecureBaseAction,1
14,Order,2
14,OrderActionForm,2
14,OrderForm,2
14,PetStoreImpl,3
14,ProductDao,3
14,AccountForm,4
14,Account,5
14,AccountActionForm,6
14,BaseActionForm,6
14,ItemDao,6
14,CartItem,7
14,Item,7
14,BaseAction,8
14,PetStoreFacade,8
14,CategoryDao,9
14,Cart,10
14,CartActionForm,10
14,OrderValidator,11
14,Category,12
14,Product,12
14,SendOrderConfirmationEmailAdvice,13
14,UserSession,13
15,Account,0
15,CartItem,1
15,Item,1
15,AccountActionForm,2
15,AccountDao,3
15,AccountValidator,3
15,JaxRpcOrderService,3
15,OrderDao,3
15,OrderService,3
15,SecureBaseAction,3
15,ItemDao,4
15,PetStoreImpl,4
15,ProductDao,4
15,SendOrderConfirmationEmailAdvice,5
15,UserSession,5
15,Category,6
15,Product,6
15,BaseAction,7
15,PetStoreFacade,7
15,AccountForm,8
15,CategoryDao,9
15,BaseActionForm,10
15,Order,11
15,OrderActionForm,11
15,OrderForm,11
15,OrderValidator,12
15,Cart,13
15,CartActionForm,13
15,LineItem,14
16,AccountDao,0
16,AccountValidator,0
16,OrderDao,0
16,OrderService,0
16,SecureBaseAction,0
16,ItemDao,1
16,PetStoreImpl,1
16,ProductDao,1
16,Order,2
16,OrderActionForm,2
16,CartActionForm,3
16,Item,4
16,LineItem,4
16,Category,5
16,Product,5
16,AccountForm,6
16,Account,7
16,JaxRpcOrderService,8
16,OrderForm,8
16,SendOrderConfirmationEmailAdvice,8
16,BaseAction,9
16,PetStoreFacade,9
16,CategoryDao,10
16,BaseActionForm,11
16,OrderValidator,12
16,UserSession,13
16,Cart,14
16,CartItem,14
16,AccountActionForm,15
17,Order,0
17,OrderForm,0
17,Cart,1
17,CartActionForm,1
17,AccountDao,2
17,AccountValidator,2
17,JaxRpcOrderService,2
17,OrderDao,2
17,OrderService,2
17,SecureBaseAction,2
17,CartItem,3
17,Item,3
17,LineItem,3
17,AccountActionForm,4
17,Category,5
17,Product,5
17,ProductDao,6
17,SendOrderConfirmationEmailAdvice,6
17,OrderActionForm,7
17,PetStoreImpl,8
17,AccountForm,9
17,BaseAction,10
17,PetStoreFacade,10
17,Account,11
17,OrderValidator,12
17,UserSession,13
17,CategoryDao,14
17,BaseActionForm,15
17,ItemDao,16
18,Account,0
18,CartItem,1
18,Item,1
18,AccountDao,2
18,AccountValidator,2
18,JaxRpcOrderService,2
18,OrderDao,2
18,OrderService,2
18,SecureBaseAction,2
18,BaseAction,3
18,PetStoreFacade,3
18,Category,4
18,Product,4
18,PetStoreImpl,5
18,ProductDao,5
18,SendOrderConfirmationEmailAdvice,6
18,AccountForm,7
18,LineItem,8
18,BaseActionForm,9
18,Order,10
18,OrderForm,10
18,UserSession,11
18,AccountActionForm,12
18,OrderValidator,13
18,Cart,14
18,CartActionForm,14
18,CategoryDao,15
18,OrderActionForm,16
18,ItemDao,17
19,CartItem,0
19,Item,0
19,AccountDao,1
19,AccountValidator,1
19,JaxRpcOrderService,1
19,OrderDao,1
19,OrderService,1
19,SecureBaseAction,1
19,BaseAction,2
19,PetStoreFacade,2
19,PetStoreImpl,2
19,AccountForm,3
19,BaseActionForm,4
19,LineItem,5
19,Order,5
19,AccountActionForm,6
19,SendOrderConfirmationEmailAdvice,7
19,Category,8
19,OrderValidator,9
19,UserSession,10
19,Account,11
19,CategoryDao,12
19,ProductDao,13
19,Cart,14
19,CartActionForm,14
19,Product,15
19,ItemDao,16
19,OrderForm,17
19,OrderActionForm,18
20,AccountDao,0
20,AccountValidator,0
20,JaxRpcOrderService,0
20,OrderDao,0
20,OrderService,0
20,SecureBaseAction,0
20,CartItem,1
20,Item,1
20,AccountActionForm,2
20,Order,3
20,OrderForm,3
20,AccountForm,4
20,OrderValidator,5
20,PetStoreFacade,6
20,PetStoreImpl,6
20,UserSession,7
20,SendOrderConfirmationEmailAdvice,8
20,Category,9
20,Product,10
20,Account,11
20,BaseAction,12
20,CategoryDao,13
20,Cart,14
20,CartActionForm,14
20,BaseActionForm,15
20,OrderActionForm,16
20,LineItem,17
20,ProductDao,18
20,ItemDao,19
21,CategoryDao,0
21,Cart,1
21,CartActionForm,1
21,CartItem,2
21,Item,2
21,LineItem,2
21,AccountValidator,3
21,OrderService,3
21,SecureBaseAction,3
21,AccountForm,4
21,BaseAction,5
21,Order,6
21,OrderForm,6
21,SendOrderConfirmationEmailAdvice,7
21,BaseActionForm,8
21,OrderValidator,9
21,Category,10
21,AccountActionForm,11
21,UserSession,12
21,ProductDao,13
21,Product,14
21,Account,15
21,OrderActionForm,16
21,AccountDao,17
21,OrderDao,17
21,PetStoreImpl,17
21,ItemDao,18
21,PetStoreFacade,19
21,JaxRpcOrderService,20
22,Product,0
22,PetStoreFacade,1
22,AccountDao,2
22,OrderDao,2
22,OrderService,2
22,PetStoreImpl,2
22,BaseActionForm,3
22,Item,4
22,SendOrderConfirmationEmailAdvice,5
22,AccountForm,6
22,CategoryDao,7
22,AccountActionForm,8
22,BaseAction,9
22,OrderValidator,10
22,UserSession,11
22,Cart,12
22,CartActionForm,12
22,ProductDao,13
22,Account,14
22,ItemDao,15
22,OrderActionForm,16
22,AccountValidator,17
22,JaxRpcOrderService,17
22,SecureBaseAction,17
22,OrderForm,18
22,Category,19
22,CartItem,20
22,LineItem,21
22,Order,21
23,AccountDao,0
23,OrderDao,0
23,OrderService,0
23,AccountValidator,1
23,JaxRpcOrderService,1
23,SecureBaseAction,1
23,AccountForm,2
23,BaseActionForm,3
23,AccountActionForm,4
23,CategoryDao,5
23,Account,6
23,PetStoreFacade,7
23,PetStoreImpl,7
23,CartItem,8
23,Category,9
23,SendOrderConfirmationEmailAdvice,10
23,OrderActionForm,11
23,CartActionForm,12
23,Product,13
23,OrderForm,14
23,OrderValidator,15
23,UserSession,16
23,Item,17
23,LineItem,17
23,BaseAction,18
23,Cart,19
23,ItemDao,20
23,ProductDao,21
23,Order,22
24,Account,0
24,Cart,1
24,Item,1
24,LineItem,1
24,PetStoreImpl,2
24,BaseAction,3
24,SendOrderConfirmationEmailAdvice,4
24,AccountValidator,5
24,SecureBaseAction,5
24,Product,6
24,AccountDao,7
24,OrderDao,7
24,OrderService,7
24,BaseActionForm,8
24,AccountForm,9
24,UserSession,10
24,CategoryDao,11
24,CartItem,12
24,AccountActionForm,13
24,JaxRpcOrderService,14
24,OrderValidator,15
24,OrderForm,16
24,CartActionForm,17
24,ItemDao,18
24,ProductDao,19
24,Category,20
24,OrderActionForm,21
24,Order,22
24,PetStoreFacade,23
25,Category,0
25,Item,1
25,AccountValidator,2
25,OrderDao,2
25,OrderService,2
25,SecureBaseAction,2
25,AccountDao,3
25,PetStoreImpl,3
25,SendOrderConfirmationEmailAdvice,4
25,JaxRpcOrderService,5
25,AccountActionForm,6
25,Product,7
25,AccountForm,8
25,OrderValidator,9
25,UserSession,10
25,OrderForm,11
25,OrderActionForm,12
25,Account,13
25,BaseAction,14
25,CartItem,15
25,Cart,16
25,LineItem,17
25,CategoryDao,18
25,BaseActionForm,19
25,CartActionForm,20
25,Order,21
25,ItemDao,22
25,ProductDao,23
25,PetStoreFacade,24
26,CartItem,0
26,AccountDao,1
26,Order,2
26,AccountValidator,3
26,SecureBaseAction,3
26,OrderDao,4
26,OrderService,4
26,JaxRpcOrderService,5
26,PetStoreFacade,6
26,PetStoreImpl,6
26,Account,7
26,BaseActionForm,8
26,UserSession,9
26,OrderValidator,10
26,AccountForm,11
26,BaseAction,12
26,CartActionForm,13
26,AccountActionForm,14
26,Category,15
26,SendOrderConfirmationEmailAdvice,16
26,OrderActionForm,17
26,CategoryDao,18
26,Product,19
26,Cart,20
26,ProductDao,21
26,LineItem,22
26,ItemDao,23
26,OrderForm,24
26,Item,25
27,OrderForm,0
27,PetStoreFacade,1
27,AccountValidator,2
27,Order,3
27,AccountForm,4
27,OrderService,5
27,PetStoreImpl,5
27,CategoryDao,6
27,OrderDao,7
27,SecureBaseAction,7
27,JaxRpcOrderService,8
27,AccountDao,9
27,AccountActionForm,10
27,OrderValidator,11
27,BaseAction,12
27,OrderActionForm,13
27,SendOrderConfirmationEmailAdvice,14
27,ProductDao,15
27,BaseActionForm,16
27,Account,17
27,Product,18
27,UserSession,19
27,LineItem,20
27,Category,21
27,ItemDao,22
27,CartActionForm,23
27,Cart,24
27,CartItem,25
27,Item,26
28,AccountActionForm,0
28,OrderDao,1
28,OrderService,2
28,SecureBaseAction,2
28,ItemDao,3
28,AccountValidator,4
28,PetStoreFacade,5
28,AccountDao,6
28,CategoryDao,7
28,AccountForm,8
28,Cart,9
28,PetStoreImpl,10
28,BaseAction,11
28,SendOrderConfirmationEmailAdvice,12
28,Order,13
28,JaxRpcOrderService,14
28,Account,15
28,BaseActionForm,16
28,OrderValidator,17
28,OrderActionForm,18
28,Category,19
28,OrderForm,20
28,CartActionForm,21
28,Product,22
28,UserSession,23
28,LineItem,24
28,CartItem,25
28,ProductDao,26
28,Item,27
