filename,class,attributes,methods
UserSession.java,UserSession,"['account', 'myList']","['getAccount', 'setMyList', 'getMyList', 'UserSession']"
AccountForm.java,AccountForm,"['account', 'newAccount', 'repeatedPassword']","['getAccount', 'isNewAccount', 'setRepeatedPassword', 'getRepeatedPassword', 'AccountForm']"
SignonInterceptor.java,SignonInterceptor,[],[]
RemoveItemFromCartController.java,RemoveItemFromCartController,[],[]
AddItemToCartController.java,AddItemToCartController,['petStore'],['setPetStore']
SignoffController.java,SignoffController,[],[]
ViewProductController.java,ViewProductController,['petStore'],['setPetStore']
SignonController.java,SignonController,['petStore'],['setPetStore']
OrderFormController.java,OrderFormController,['petStore'],"['setPetStore', 'onBindAndValidate', 'referenceData', 'getTargetPage', 'validatePage', 'processFinish', 'OrderFormController']"
ViewItemController.java,ViewItemController,['petStore'],['setPetStore']
ViewOrderController.java,ViewOrderController,['petStore'],['setPetStore']
ViewCartController.java,ViewCartController,['successView'],['setSuccessView']
OrderForm.java,OrderForm,"['order', 'shippingAddressRequired', 'confirmed']","['getOrder', 'setShippingAddressRequired', 'isShippingAddressRequired', 'setConfirmed', 'isConfirmed']"
ViewCategoryController.java,ViewCategoryController,['petStore'],['setPetStore']
ListOrdersController.java,ListOrdersController,['petStore'],['setPetStore']
JaxRpcOrderService.java,as,['orderService'],"['onInit', 'getOrder']"
OrderServiceClient.java,for,"['CLIENT_CONTEXT_CONFIG_LOCATION', 'beanFactory']","['invokeOrderServices', 'printOrder', 'main', 'OrderServiceClient']"
CartItem.java,CartItem,"['item', 'quantity', 'inStock']","['isInStock', 'setInStock', 'getItem', 'setItem', 'getQuantity', 'setQuantity', 'getTotalPrice', 'incrementQuantity']"
Product.java,Product,"['productId', 'categoryId', 'name', 'description']","['getProductId', 'setProductId', 'getCategoryId', 'setCategoryId', 'getName', 'setName', 'getDescription', 'setDescription', 'toString']"
Account.java,Account,"['username', 'password', 'email', 'firstName', 'lastName', 'status', 'address1', 'address2', 'city', 'state', 'zip', 'country', 'phone', 'favouriteCategoryId', 'languagePreference', 'listOption', 'bannerOption', 'bannerName']","['getUsername', 'setUsername', 'getPassword', 'setPassword', 'getEmail', 'setEmail', 'getFirstName', 'setFirstName', 'getLastName', 'setLastName', 'getStatus', 'setStatus', 'getAddress1', 'setAddress1', 'getAddress2', 'setAddress2', 'getCity', 'setCity', 'getState', 'setState', 'getZip', 'setZip', 'getCountry', 'setCountry', 'getPhone', 'setPhone', 'getFavouriteCategoryId', 'setFavouriteCategoryId', 'getLanguagePreference', 'setLanguagePreference', 'isListOption', 'setListOption', 'getListOptionAsInt', 'isBannerOption', 'setBannerOption', 'getBannerOptionAsInt', 'getBannerName', 'setBannerName']"
Category.java,Category,"['categoryId', 'name', 'description']","['getCategoryId', 'setCategoryId', 'getName', 'setName', 'getDescription', 'setDescription', 'toString']"
Cart.java,Cart,"['itemMap', 'itemList']","['getAllCartItems', 'getCartItemList', 'getNumberOfItems', 'containsItemId', 'addItem', 'removeItemById', 'incrementQuantityByItemId', 'setQuantityByItemId', 'getSubTotal', 'Cart']"
LineItem.java,LineItem,"['orderId', 'lineNumber', 'quantity', 'itemId', 'unitPrice', 'item']","['getOrderId', 'setOrderId', 'getLineNumber', 'setLineNumber', 'getItemId', 'setItemId', 'getUnitPrice', 'setUnitPrice', 'getItem', 'setItem', 'getQuantity', 'setQuantity', 'getTotalPrice', 'LineItem']"
Order.java,Order,"['orderId', 'username', 'orderDate', 'shipAddress1', 'shipAddress2', 'shipCity', 'shipState', 'shipZip', 'shipCountry', 'billAddress1', 'billAddress2', 'billCity', 'billState', 'billZip', 'billCountry', 'courier', 'totalPrice', 'billToFirstName', 'billToLastName', 'shipToFirstName', 'shipToLastName', 'creditCard', 'expiryDate', 'cardType', 'locale', 'status', 'lineItems']","['getOrderId', 'setOrderId', 'getUsername', 'setUsername', 'getOrderDate', 'setOrderDate', 'getShipAddress1', 'setShipAddress1', 'getShipAddress2', 'setShipAddress2', 'getShipCity', 'setShipCity', 'getShipState', 'setShipState', 'getShipZip', 'setShipZip', 'getShipCountry', 'setShipCountry', 'getBillAddress1', 'setBillAddress1', 'getBillAddress2', 'setBillAddress2', 'getBillCity', 'setBillCity', 'getBillState', 'setBillState', 'getBillZip', 'setBillZip', 'getBillCountry', 'setBillCountry', 'getCourier', 'setCourier', 'getTotalPrice', 'setTotalPrice', 'getBillToFirstName', 'setBillToFirstName', 'getBillToLastName', 'setBillToLastName', 'getShipToFirstName', 'setShipToFirstName', 'getShipToLastName', 'setShipToLastName', 'getCreditCard', 'setCreditCard', 'getExpiryDate', 'setExpiryDate', 'getCardType', 'setCardType', 'getLocale', 'setLocale', 'getStatus', 'setStatus', 'setLineItems', 'getLineItems', 'initOrder', 'addLineItem']"
Item.java,Item,"['itemId', 'productId', 'listPrice', 'unitCost', 'supplierId', 'status', 'attribute1', 'attribute2', 'attribute3', 'attribute4', 'attribute5', 'product', 'quantity']","['getItemId', 'setItemId', 'getQuantity', 'setQuantity', 'getProduct', 'setProduct', 'getProductId', 'setProductId', 'getSupplierId', 'setSupplierId', 'getListPrice', 'setListPrice', 'getUnitCost', 'setUnitCost', 'getStatus', 'setStatus', 'getAttribute1', 'setAttribute1', 'getAttribute2', 'setAttribute2', 'getAttribute3', 'setAttribute3', 'getAttribute4', 'setAttribute4', 'getAttribute5', 'setAttribute5', 'toString']"
PetStoreImpl.java,in,"['accountDao', 'categoryDao', 'productDao', 'itemDao', 'orderDao']","['setAccountDao', 'setCategoryDao', 'setProductDao', 'setItemDao', 'setOrderDao', 'getAccount', 'insertAccount', 'updateAccount', 'getUsernameList', 'getCategoryList', 'getCategory', 'getProductListByCategory', 'searchProductList', 'getProduct', 'getItemListByProduct', 'getItem', 'isItemInStock', 'insertOrder', 'getOrder', 'getOrdersByUsername']"
SendOrderConfirmationEmailAdvice.java,SendOrderConfirmationEmailAdvice,"['DEFAULT_MAIL_FROM', 'DEFAULT_SUBJECT', 'logger', 'mailSender', 'mailFrom', 'subject']","['setMailSender', 'setMailFrom', 'setSubject']"
OrderValidator.java,OrderValidator,[],"['supports', 'validate', 'validateCreditCard', 'validateBillingAddress', 'validateShippingAddress']"
AccountValidator.java,AccountValidator,[],"['supports', 'validate']"
PetStoreFacade.java,PetStoreFacade,[],[]
OrderService.java,OrderService,[],[]
